title,authors,arxiv_id
Kernel Instrumental Variable Regression,Rahul Singh;Maneesh Sahani;Arthur Gretton,http://arxiv.org/abs/1906.00232v2
DISN: Deep Implicit Surface Network for High-quality Single-view 3D Reconstruction,Qiangeng Xu;Weiyue Wang;Duygu Ceylan; Radomir Mech;Ulrich Neumann,
Distribution-Independent PAC Learning of Halfspaces with Massart Noise,Ilias Diakonikolas;Themis Gouleakis;Christos Tzamos,http://arxiv.org/abs/1906.10075v1
Differentially Private Bayesian Linear Regression,Garrett Bernstein;Daniel Sheldon,
XLNet: Generalized Autoregressive Pretraining for Language Understanding,Zhilin Yang;Zihang Dai;Yiming Yang;Jaime Carbonell;Russ Salakhutdinov;Quoc V Le,
Updates of Equilibrium Prop Match Gradients of Backprop Through Time in an RNN with Static Input,Maxence Ernoult;Benjamin Scellier;Yoshua Bengio;Damien Querlioz;Julie Grollier,
Semantic Conditioned Dynamic Modulation for Temporal Sentence Grounding in Videos,Yitian Yuan;Lin Ma;Jingwen Wang;Wei Liu;Wenwu Zhu,
Trajectory of Alternating Direction Method of Multipliers and Adaptive Acceleration,Clarice Poon;Jingwei Liang,
RSN: Randomized Subspace Newton,Robert Gower;Dmitry Koralev;Felix Lieder;Peter Richtarik,
Trust Region-Guided Proximal Policy Optimization,Yuhui Wang;Hao He;Xiaoyang Tan;Yaozhong Gan,http://arxiv.org/abs/1901.10314v1
No Pressure! Addressing the Problem of Local Minima in Manifold Learning Algorithms,Max Vladymyrov,
Fast and Accurate Least-Mean-Squares Solvers,Ibrahim Jubran;Alaa Maalouf;Dan Feldman,
Adversarial Self-Defense for Cycle-Consistent GANs,Dina Bashkirova;Ben Usman;Kate Saenko,
Uniform Error Bounds for Gaussian Process Regression with Application to Safe Control,Armin Lederer;Jonas Umlauft;Sandra Hirche,
Logarithmic Regret for Online Control,Naman Agarwal;Elad Hazan;Karan Singh,http://arxiv.org/abs/1909.05062v1
A Meta-Analysis of Overfitting in Machine Learning,Rebecca Roelofs;Vaishaal  Shankar;Benjamin Recht;Sara Fridovich-Keil;Moritz Hardt;John Miller;Ludwig Schmidt,
Geometry-Aware Neural Rendering,Josh Tobin;Wojciech Zaremba;Pieter Abbeel,
"Saccader: Accurate, Interpretable Image Classification with Hard Attention",Gamaleldin Elsayed;Simon Kornblith;Quoc V Le,
Multiway clustering via tensor block models  ,Miaoyan Wang;Yuchen Zeng,http://arxiv.org/abs/1906.03807v1
On Making Stochastic Classifiers Deterministic,Andrew Cotter;Maya Gupta;Harikrishna Narasimhan,
Variance Reduction for Matrix Games,Yair Carmon;Yujia Jin;Aaron Sidford;Kevin Tian,http://arxiv.org/abs/1907.02056v1
Uniform convergence may be unable to explain generalization in deep learning,Vaishnavh Nagarajan;J. Zico Kolter,
Network Pruning via Transformable Architecture Search,Xuanyi Dong;Yi Yang,http://arxiv.org/abs/1905.09717v2
Differentiable Cloth Simulation for Inverse Problems,Junbang Liang;Ming C Lin;Vladlen Koltun,
New Differentially Private Algorithms for Learning Mixtures of Well-Separated Gaussians,Gautam Kamath;Or Sheffet;Vikrant Singhal;Jonathan Ullman,
Poisson-randomized Gamma Dynamical Systems,Aaron Schein;Scott Linderman;Mingyuan Zhou;David Blei;Hanna Wallach,
Fast Low-rank Metric Learning for Large-scale and High-dimensional Data,Han Liu;Zhizhong Han;Yu-Shen Liu;Ming Gu,
R2D2: Reliable and Repeatable Detectors and Descriptors for Joint Sparse Keypoint Detection and Local Feature Extraction,Jerome Revaud;Cesar De Souza;Martin Humenberger;Philippe Weinzaepfel,
Optimal Pricing in Repeated Posted-Price Auctions with Different Patience of the Seller and the Buyer,Arsenii Vanunts;Alexey Drutsa,
Brain-Like Object Recognition with High-Performing Shallow Recurrent ANNs,Jonas Kubilius;Martin Schrimpf;Ha Hong;Najib Majaj;Rishi Rajalingham;Elias Issa;Kohitij Kar;Pouya Bashivan;Jonathan Prescott-Roy;Kailyn Schmidt;Aran Nayebi;Daniel Bear;Daniel Yamins;James J DiCarlo,
Memory-oriented Decoder for Light Field Salient Object Detection,Miao Zhang;Jingjing Li;Wei Ji;Yongri Piao;Huchuan Lu,
Deep Learning without Weight Transport,Mohamed Akrout;Collin Wilson;Peter Humphreys;Timothy Lillicrap;Douglas Tweed,
Using a Logarithmic Mapping to Enable Lower Discount Factors in Reinforcement Learning,Harm Van Seijen;Mehdi Fatemi;Arash Tavakoli,
Explicit Disentanglement of Appearance and Perspective in Generative Models,Nicki Skafte Detlefsen;Søren Hauberg,
Region-specific Diffeomorphic Metric Mapping,Zhengyang Shen;Francois-Xavier Vialard;Marc Niethammer,
Secretary Ranking with Minimal Inversions,Sepehr Assadi;Eric Balkanski;Renato Leme,
Understanding Sparse JL for Feature Hashing,Meena Jagadeesan,http://arxiv.org/abs/1903.03605v1
 Value Propagation for Decentralized Networked Deep Multi-agent  Reinforcement Learning,Chao Qu;Shie Mannor;Huan Xu;Yuan Qi;Le Song;Junwu Xiong,
Subset Selection via Supervised Facility Location,Chengguang Xu;Ehsan Elhamifar,
Reconciling λ-Returns with Experience Replay,Brett Daley;Christopher Amato,
Zero-shot Learning via Simultaneous Generating and Learning,Hyeonwoo Yu;Beomhee Lee,
CondConv: Conditionally Parameterized Convolutions for Efficient Inference,Brandon Yang;Gabriel Bender;Quoc V Le;Jiquan Ngiam,
On The Classification-Distortion-Perception Tradeoff,Dong Liu;Haochen Zhang;Zhiwei Xiong,
Optimal Statistical Rates for Decentralised Non-Parametric Regression with Linear Speed-Up,Dominic Richards;Patrick Rebeschini,
Stand-Alone Self-Attention in Vision Models,Niki Parmar;Prajit Ramachandran;Ashish Vaswani;Irwan Bello;Anselm Levskaya;Jon Shlens,
Hierarchical Reinforcement Learning with Advantage-Based Auxiliary Rewards,Siyuan Li;Rui Wang;Minxue Tang;Chongjie Zhang,
Wibergian Learning of Continuous Energy Functions,Chris Russell;Matteo Toso;Neill Campbell,
High Fidelity Video Prediction with Large Neural Nets,Ruben Villegas;Arkanath Pathak;Harini Kannan;Dumitru Erhan;Quoc V Le;Honglak Lee,
SSRGD: Simple Stochastic Recursive Gradient Descent for Escaping Saddle Points,Zhize Li,
Hierarchical Optimal Transport for Document Representation,Mikhail Yurochkin;Sebastian Claici;Edward Chien;Farzaneh Mirzazadeh;Justin M Solomon,
A New Defense Against Adversarial Images: Turning a Weakness into a Strength,Shengyuan Hu;Tao Yu;Chuan Guo;Wei-Lun Chao;Kilian Weinberger,
TensorPipe: Easy Scaling with Micro-Batch Pipeline Parallelism,Yanping Huang;Youlong Cheng;Ankur Bapna;Orhan Firat;Dehao Chen;Mia Chen;HyoukJoong Lee;Jiquan Ngiam;Quoc V Le;Yonghui Wu;zhifeng Chen,
Variational Denoising Network: Toward Blind Noise Modeling and Removal,Zongsheng Yue;Hongwei Yong;Qian Zhao;Deyu Meng;Lei Zhang,http://arxiv.org/abs/1908.11314v1
Cascaded Dilated Dense Network with Two-step Data Consistency for MRI Reconstruction,Hao Zheng;Faming Fang;Guixu Zhang,
On the Curved Geometry of Accelerated Optimization,Aaron Defazio,http://arxiv.org/abs/1812.04634v1
The Cells Out of Sample (COOS) dataset and benchmarks for measuring out-of-sample generalization of image classifiers,Alex Lu;Amy Lu;Wiebke Schormann;David Andrews;Alan Moses,
Meta-Learning with Implicit Gradients,Aravind Rajeswaran;Chelsea Finn;Sham Kakade;Sergey Levine,http://arxiv.org/abs/1909.04630v1
Importance Resampling for Off-policy Prediction,Matthew Schlegel;Wesley Chung;Daniel Graves;Jian Qian;Martha White,http://arxiv.org/abs/1906.04328v1
Defense Against Adversarial Attacks Using Feature Scattering-based Adversarial Training,Haichao Zhang;Jianyu Wang,
Regret Minimization for Reinforcement Learning on Multi-Objective Online Markov Decision Processes,Wang Chi Cheung,
Neural networks grown and self-organized by noise,Guruprasad Raghavan;Matt Thomson,http://arxiv.org/abs/1906.01039v1
Meta-Weight-Net: Learning an Explicit Mapping For Sample Weighting,Jun Shu;Qi Xie;Lixuan Yi;Qian Zhao;Sanping Zhou;Zongben Xu;Deyu Meng,http://arxiv.org/abs/1902.07379v4
Differentially Private Hypothesis Selection,Mark Bun;Gautam Kamath;Thomas Steinke;Steven Wu,
Variational Structured Semantic Inference for Diverse Image Captioning,Fuhai Chen;Rongrong Ji;Jiayi Ji;Xiaoshuai Sun;Baochang Zhang;Xuri Ge;Yongjian Wu;Feiyue Huang;Yan Wang,
Transferable Normalization: Towards Improving Transferability of Deep Neural Networks,Ximei Wang;Ying Jin;Mingsheng Long;Jianmin Wang;Michael Jordan,
DAC: The Double Actor-Critic Architecture for Learning Options,Shangtong Zhang;Shimon Whiteson,http://arxiv.org/abs/1904.12691v7
Average-Case Averages: Private Algorithms for Smooth Sensitivity and Mean Estimation,Mark Bun;Thomas Steinke,
Sample-Efficient Deep Reinforcement Learning via Episodic Backward Update,Su Young Lee;Choi Sungik;Sae-Young Chung,
Gate Decorator: Global Filter Pruning Method for Accelerating Deep Convolutional Neural Networks,Zhonghui You;Kun Yan;Jinmian Ye;Meng Ma;Ping Wang,
Provably Powerful Graph Networks,Haggai Maron;Heli Ben-Hamu;Hadar Serviansky;Yaron Lipman,http://arxiv.org/abs/1905.11136v2
DeepUSPS: Deep Robust Unsupervised Saliency Prediction via Self-supervision,Tam Nguyen;Maximilian Dax;Chaithanya Kumar Mummadi;Nhung Ngo;Thi Hoai Phuong Nguyen;Zhongyu Lou;Thomas Brox,
A Tensorized Transformer for Language Modeling,Xindian Ma;Peng Zhang;Shuai Zhang;Nan Duan;Yuexian Hou;Ming Zhou;Dawei Song,http://arxiv.org/abs/1906.09777v2
Rethinking the CSC Model for Natural Images,Dror Simon;Michael Elad,
Multiview Aggregation for Learning Category-Specific Shape Reconstruction,Srinath Sridhar;Davis Rempe;Julien Valentin;Bouaziz Sofien;Leonidas J Guibas,
"Nearly Linear-Time, Deterministic Algorithm for Maximizing (Non-Monotone) Submodular Functions Under Cardinality Constraint",Alan Kuhnle,
The Point Where Reality Meets Fantasy: Mixed Adversarial Generators for Image Splice Detection,Vladimir V. Kniaz;Vladimir Knyaz;Fabio Remondino,
Initialization of ReLUs for Dynamical Isometry,Rebekka Burkholz;Alina Dubatovka,http://arxiv.org/abs/1806.06362v2
You Only Propagate Once: Accelerating Adversarial Training via Maximal Principle,Dinghuai Zhang;Tianyuan Zhang;Yiping  Lu;Zhanxing Zhu;Bin Dong,
Generalized Sliced Wasserstein Distances,Soheil Kolouri;Kimia Nadjahi;Umut Simsekli;Roland Badeau;Gustavo Rohde,
Minimax rates of estimating approximate differential privacy,Xiyang Liu;Sewoong Oh,http://arxiv.org/abs/1905.10335v1
Conformal Prediction Under Covariate Shift,Rina Foygel Barber;Emmanuel Candes;Aaditya Ramdas;Ryan Tibshirani,
Backprop with Approximate Activations for Memory-efficient Network Training,Ayan Chakrabarti;Benjamin Moseley,
Blended Matching Pursuit,Cyrille Combettes;Sebastian Pokutta,
Optimal Analysis of Subset-Selection Based L_p Low-Rank Approximation,Chen Dan;Hong Wang;Hongyang Zhang;Yuchen Zhou;Pradeep Ravikumar,
On the Calibration of Multiclass Classification  with Rejection,Chenri Ni;Nontawat Charoenphakdee;Junya Honda;Masashi Sugiyama,
Provable Gradient Variance Guarantees for Black-Box Variational Inference,Justin Domke,
Visual Sequence Learning  in Hierarchical Prediction Networks and Primate Visual Cortex,JIELIN QIU;Ge Huang;Tai Sing Lee,
Discovering Neural Wirings,Mitchell Wortsman;Ali Farhadi;Mohammad Rastegari,http://arxiv.org/abs/1906.00586v2
Regularizing Trajectory Optimization with Denoising Autoencoders,Rinu Boney;Norman Di Palo;Mathias Berglund;Alexander Ilin;Juho Kannala;Antti Rasmus;Harri Valpola,http://arxiv.org/abs/1903.11981v2
Deep ReLU Networks Have Surprisingly Few Activation Patterns,Boris Hanin;David Rolnick,http://arxiv.org/abs/1906.00904v1
Copula-like Variational Inference,Marcel Hirt;Petros Dellaportas;Alain Durmus,
Computer Vision with a Single (Robust) Classifier,Shibani Santurkar;Andrew Ilyas;Dimitris Tsipras;Logan Engstrom;Brandon Tran;Aleksander Madry,
Gated CRF Loss for Weakly Supervised Semantic Image Segmentation,Anton Obukhov;Stamatios Georgoulis;Dengxin Dai;Luc V Gool,
Spatially Aggregated Gaussian Processes with Multivariate Areal Outputs,Yusuke Tanaka;Toshiyuki Tanaka;Tomoharu Iwata;Takeshi Kurashima;Maya Okawa;Yasunori Akagi;Hiroyuki Toda,http://arxiv.org/abs/1907.08350v1
Meta-Reinforced Synthetic Data for One-Shot Fine-Grained Visual Recognition,Satoshi Tsutsui;Yanwei Fu;David Crandall,
Real-Time Reinforcement Learning,Simon Ramstedt;Chris Pal,
Individual Regret in Cooperative Nonstochastic Multi-Armed Bandits,Yogev Bar-On;Yishay Mansour,http://arxiv.org/abs/1907.03346v2
A Primal-Dual link between GANs and Autoencoders,Hisham Husain;Richard Nock;Robert Williamson,
Backpropagation-Friendly Eigendecomposition,Wei Wang;Zheng Dang;Yinlin Hu;Pascal Fua;Mathieu Salzmann,
"FastSpeech: Fast, Robust and Controllable Text to Speech",Yi Ren;Yangjun Ruan;Xu Tan;Tao Qin;Sheng Zhao;Zhou Zhao;Tie-Yan Liu,http://arxiv.org/abs/1905.09263v4
muSSP: Efficient Min-cost Flow Algorithm for Multi-object Tracking,Congchao Wang;Yizhi Wang;Yinxue Wang;Chiung-Ting Wu;Guoqiang Yu,
Implicit Regularization of Discrete Gradient Dynamics in Deep Linear Neural Networks,Gauthier Gidel;Francis Bach;Simon Lacoste-Julien,
Fully Dynamic Consistent Facility Location,Vincent Cohen-Addad;Niklas Oskar D Hjuler;Nikos Parotsidis;David Saulpic;Chris Schwiegelshohn,
Invert to Learn to Invert,Patrick Putzky;Max Welling,
A Flexible Generative Framework for Graph-based Semi-supervised Learning,Jiaqi Ma;Weijing Tang;Ji Zhu;Qiaozhu Mei,
Kernel-Based Approaches for Sequence Modeling: Connections to Neural Methods,Kevin Liang;Guoyin Wang;Yitong Li;Ricardo Henao;Lawrence Carin,
Equitable Stable Matchings in Quadratic Time,Nikolaos Tziavelis;Ioannis Giannakopoulos;Katerina Doka;Nectarios Koziris;Panagiotis Karras,
First order expansion of convex regularized estimators,Pierre Bellec;Arun Kuchibhotla,
The Landscape of Non-convex Empirical Risk with Degenerate Population Risk,Shuang Li;Gongguo Tang;Michael B Wakin,
Deep Generalized Method of Moments for Instrumental Variable Analysis,Andrew Bennett;Nathan Kallus;Tobias Schnabel,http://arxiv.org/abs/1905.12495v1
vGraph: A Generative Model for Joint Community Detection and Node Representation Learning,Fan-Yun Sun;Meng Qu;Jordan Hoffmann;Chin-Wei Huang;Jian Tang,
Tight Dimension Independent Lower Bound on the Expected Convergence Rate for Diminishing Step Sizes in SGD,PHUONG_HA NGUYEN;Lam Nguyen;Marten van Dijk,
Privacy-Preserving Classification of Personal Text Messages with Secure Multi-Party Computation,Devin Reich;Ariel Todoki;Rafael Dowsley;Martine De Cock;anderson nascimento,
Scalable Structure Learning of Continuous-Time Bayesian Networks from Incomplete Data,Dominik Linzner;Michael Schmidt;Heinz Koeppl,
Subspace Attack: Exploiting Promising Subspaces for Query-Efficient Black-box Attacks,Yiwen Guo;Ziang Yan;Changshui Zhang,
Stochastic Gradient Hamiltonian Monte Carlo Methods with Recursive Variance Reduction,Difan Zou;Pan Xu;Quanquan Gu,
Learning Generalizable Device Placement Algorithms for Distributed Machine Learning,ravichandra addanki;Shaileshh Bojja Venkatakrishnan;Shreyan Gupta;Hongzi Mao;Mohammad Alizadeh,
Learning to Predict Layout-to-image Conditional Convolutions for Semantic Image Synthesis,Xihui Liu;Guojun Yin;Jing Shao;Xiaogang Wang;hongsheng Li,
Approximation Ratios of Graph Neural Networks for Combinatorial Problems,Ryoma Sato;Makoto Yamada;Hisashi Kashima,http://arxiv.org/abs/1905.10261v1
Full-Gradient Representation for Neural Network Visualization,Suraj Srinivas;François Fleuret,
Limitations of the empirical Fisher approximation,Frederik Kunstner;Philipp Hennig;Lukas Balles,http://arxiv.org/abs/1905.12558v1
Computing Full Conformal Prediction Set with Approximate Homotopy,Eugene Ndiaye;Ichiro Takeuchi,
Understanding attention in graph neural networks,Boris Knyazev;Graham W Taylor;Mohamed Amer,
Data Cleansing for Models Trained with SGD,Satoshi Hara;Atsushi Nitanda;Takanori Maehara,http://arxiv.org/abs/1906.08473v1
Towards closing the gap between the theory and practice of SVRG,Othmane Sebbouh;Nidham Gazagnadou;Samy Jelassi;Francis Bach;Robert Gower,
Training Language GANs from Scratch,Cyprien de Masson d'Autume;Shakir Mohamed;Mihaela Rosca;Jack Rae,http://arxiv.org/abs/1905.09922v1
Differentially Private Bagging: Improved utility and cheaper privacy than subsample-and-aggregate,James Jordon;Jinsung Yoon;Mihaela van der Schaar,
ETNet: Error Transition Network for Arbitrary Style Transfer,Chunjin Song;Zhijie Wu;Yang Zhou;Minglun Gong;Hui Huang,
Propagating Uncertainty in Reinforcement Learning via Wasserstein Barycenters,Alberto Maria Metelli;Amarildo Likmeta;Marcello Restelli,
A Geometric Perspective on Optimal Representations for Reinforcement Learning,Marc Bellemare;Will Dabney;Robert Dadashi;Adrien Ali Taiga;Pablo Samuel Castro;Nicolas Le Roux;Dale Schuurmans;Tor Lattimore;Clare Lyle,
Learning New Tricks From Old Dogs: Multi-Source Transfer Learning From Pre-Trained Networks,Joshua Lee;Prasanna Sattigeri;Gregory Wornell,
NAT: Neural Architecture Transformer for Accurate and Compact Architectures,Yong Guo;Yin Zheng;Mingkui Tan;Qi Chen;Jian Chen;Peilin Zhao;Junzhou Huang,
Uncertainty-based Continual Learning with Adaptive Regularization,Hongjoon Ahn;Donggyu Lee;Sungmin Cha;Taesup Moon,http://arxiv.org/abs/1905.11614v1
LIIR: Learning Individual Intrinsic Reward in Multi-Agent Reinforcement Learning,Yali Du;Lei Han;Meng Fang;Ji Liu;Tianhong Dai;Dacheng Tao,
No-Press Diplomacy: Modeling Multi-Agent Gameplay,Philip Paquette;Yuchen Lu;SETON STEVEN BOCCO;Max Smith;Satya O.-G.;Jonathan K. Kummerfeld;Joelle Pineau;Satinder Singh;Aaron Courville,
Selecting Optimal Decisions via Distributionally Robust Nearest-Neighbor Regression,Ruidi Chen;Ioannis Paschalidis,
Offline Contextual Bayesian Optimization,Ian Char;Youngseog Chung;Willie Neiswanger;Kirthevasan Kandasamy;Oak Nelson;Mark Boyer; Egemen Kolemen;Jeff Schneider,
End to end learning and optimization on graphs,Bryan Wilder;Eric Ewing;Bistra Dilkina;Milind Tambe,http://arxiv.org/abs/1905.13732v1
Learning Conditional Deformable Templates with Convolutional Networks,Adrian Dalca;Marianne Rakic;John Guttag;Mert Sabuncu,
Adaptive Cross-Modal Few-shot Learning,Chen Xing;Negar Rostamzadeh;Boris Oreshkin;Pedro O. Pinheiro,
Optimal Sketching for Kronecker Product Regression and Low Rank Approximation,Huaian Diao;Rajesh Jayaram;Zhao Song;Wen Sun;David Woodruff,
On Single Source Robustness in Deep Fusion Models,Taewan Kim;Joydeep Ghosh,http://arxiv.org/abs/1906.04691v1
Reducing Scene Bias of Convolutional Neural Networks for Human Action Understanding,Jinwoo Choi;Chen Gao;Joseph C. E. Messou;Jia-Bin Huang,
A Stratified Approach to Robustness for Randomly Smoothed Classifiers,Guang-He Lee;Yang Yuan;Shiyu Chang;Tommi Jaakkola,
Ordered Memory,Yikang Shen;Shawn Tan;Arian Hosseini;Zhouhan Lin;Alessandro Sordoni;Aaron Courville,
NeurVPS: Neural Vanishing Point Scanning via Conic Convolution,Yichao Zhou;Haozhi Qi;Jingwei Huang;Yi Ma,
PHYRE: A New Benchmark for Physical Reasoning,Anton Bakhtin;Laurens van der Maaten;Justin Johnson;Laura Gustafson;Ross Girshick,http://arxiv.org/abs/1908.05656v1
Data-driven Estimation of Sinusoid Frequencies,Gautier Izacard;Sreyas Mohan;Carlos Fernandez-Granda,
DATA: Differentiable ArchiTecture Approximation,Jianlong Chang;xinbang zhang;Yiwen Guo;GAOFENG MENG;SHIMING XIANG;Chunhong Pan,
Estimating Entropy of Distributions in Constant Space,Jayadev Acharya;Sourbh Bhadane;Piotr Indyk;Ziteng Sun,
Face Reconstruction from Voice using Generative Adversarial Networks,Yandong Wen;Bhiksha Raj;Rita Singh,
Incremental Few-Shot Learning with Attention Attractor Networks,Mengye Ren;Renjie Liao;Ethan Fetaya;Richard Zemel,
"Learn, Imagine and Create: Text-to-Image Generation from Prior Knowledge",Tingting Qiao;Jing Zhang;Duanqing Xu;Dacheng Tao,
Adaptive Sequence Submodularity,Marko Mitrovic;Ehsan Kazemi;Moran Feldman;Andreas Krause;Amin Karbasi,http://arxiv.org/abs/1902.05981v2
Time-series Generative Adversarial Networks,Jinsung Yoon;Daniel Jarrett;M Van Der Schaar,
Learning to Predict Without Looking Ahead: World Models Without Forward Prediction,Daniel Freeman;David Ha;Luke Metz,
Multi-label Co-regularization for Semi-supervised Facial Action Unit Recognition,Xuesong Niu;Hu Han;Shiguang Shan;Xilin Chen,
A Refined Margin Distribution Analysis for Forest Representation Learning,Shen-Huan Lyu;Liang Yang;Zhi-Hua Zhou,
An Adaptive Empirical  Bayesian Method for Sparse Deep Learning,Wei Deng;Xiao Zhang;Faming Liang;Guang Lin,
Limiting Extrapolation in Linear Approximate Value Iteration,Andrea Zanette;Alessandro Lazaric;Mykel J Kochenderfer;Emma Brunskill,
Powerset Convolutional Neural Networks,Chris Wendler;Markus Püschel;Dan Alistarh,http://arxiv.org/abs/1909.02253v1
Almost Horizon-Free Structure-Aware Best Policy Identification with a Generative Model,Andrea Zanette;Mykel J Kochenderfer;Emma Brunskill,
Online Markov Decoding: Lower Bounds and Near-Optimal Approximation Algorithms,Vikas Garg;Tamar Pichkhadze,
An Accelerated Decentralized Stochastic Proximal Algorithm for Finite Sums,Hadrien Hendrikx;Francis Bach;Laurent Massoulié,
Graph Neural Tangent Kernel: Fusing Graph Neural Networks with Graph Kernels,Simon Du;Kangcheng Hou;Russ Salakhutdinov;Barnabas Poczos;Ruosong Wang;Keyulu Xu,
Variance Reduced Policy Evaluation with Smooth Function Approximation,Hoi-To Wai;Mingyi Hong;Zhuoran Yang;Zhaoran Wang;Kexin Tang,
Learning GANs and Ensembles Using Discrepancy,Ben Adlam;Corinna Cortes;Mehryar Mohri;Ningshan Zhang,
Abstract Reasoning with Distracting Features,Kecheng Zheng;Zheng-Jun Zha;Wei Wei,
